date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:31	17741/17741	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22633928c3-454d%22	https://aus120.b-cdn.net/wp-content/themes/aus120/js/build/third-party/anime.min.js	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/themes/aus120/js/build/third-party/anime.min.js	(from https://seanobrien.com.au/)
19:57:31	9375/9375	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%226345359c-249f%22	https://aus120.b-cdn.net/wp-content/plugins/salient-core/js/third-party/touchswipe.min.js	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/plugins/salient-core/js/third-party/touchswipe.min.js	(from https://seanobrien.com.au/)
19:57:31	358252/358252	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22633928c3-5776c%22	https://aus120.b-cdn.net/wp-content/themes/aus120/js/build/init.js	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/themes/aus120/js/build/init.js	(from https://seanobrien.com.au/)
19:57:31	249553/249553	URF---	200	added ('OK%20(cached)')	image/jpeg		https://aus120.b-cdn.net/wp-content/uploads/sean-obrien-aus120-header-1-4.jpg	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/uploads/sean-obrien-aus120-header-1-4.jpg	(from https://seanobrien.com.au/)
19:57:31	100704/100704	URF---	200	added ('OK%20(cached)')	application/woff2		https://aus120.b-cdn.net/wp-content/uploads/useanyfont/8273inter-regular.woff2	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/uploads/useanyfont/8273inter-regular.woff2	(from https://seanobrien.com.au/)
19:57:32	223/223	---M--	200	added ('OK')	image/png	etag:%22df-5eabecd5ef65c%22	https://aus120.b-cdn.net/wp-content/plugins/js_composer_salient/assets/images/toggle_open.png	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/plugins/js_composer_salient/assets/images/toggle_open.png	(from https://aus120.b-cdn.net/wp-content/cache/minify/f2bac.default.include.786ce9.css)
19:57:33	349561/349561	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225f5bafde-55579%22	https://aus120.b-cdn.net/wp-content/plugins/elfsight-instagram-feed-cc/assets/elfsight-instagram-feed.js	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/plugins/elfsight-instagram-feed-cc/assets/elfsight-instagram-feed.js	(from https://seanobrien.com.au/)
19:57:33	168/168	---M--	200	added ('OK')	image/png	etag:%22a8-5eabecd5ef65c%22	https://aus120.b-cdn.net/wp-content/plugins/js_composer_salient/assets/images/toggle_close.png	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/plugins/js_composer_salient/assets/images/toggle_close.png	(from https://aus120.b-cdn.net/wp-content/cache/minify/f2bac.default.include.786ce9.css)
19:57:34	673/673	---M--	200	added ('OK')	image/gif	etag:%222a1-5eabecd5ef65c%22	https://aus120.b-cdn.net/wp-content/plugins/js_composer_salient/assets/images/spinner.gif	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/plugins/js_composer_salient/assets/images/spinner.gif	(from https://aus120.b-cdn.net/wp-content/cache/minify/f2bac.default.include.786ce9.css)
19:57:35	244/244	---M--	200	added ('OK')	image/png	etag:%22f4-5eabecd5ff05d%22	https://aus120.b-cdn.net/wp-content/plugins/js_composer_salient/assets/vc/tick.png	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/plugins/js_composer_salient/assets/vc/tick.png	(from https://aus120.b-cdn.net/wp-content/cache/minify/f2bac.default.include.786ce9.css)
